Name,Servicename,Startup
ActiveX Installer (AxInstSV),AxInstSV,Manual
AllJoyn Router Service,AJRouter,Manual
App Readiness,AppReadiness,Manual
Application Identity,AppIDSvc,Manual
Application Information,Appinfo,Manual
Application Layer Gateway Service,ALG,Manual
Application Management,AppMgmt,Manual
AppX Deployment Service (AppXSVC),AppXSvc,Manual
Auto Time Zone Updater,tzautoupdate,Disabled
AVCTP service,BthAvctpSvc,Manual
Background Intelligent Transfer Service,BITS,Manual
Background Tasks Infrastructure Service,BrokerInfrastructure,Automatic
Base Filtering Engine,BFE,Automatic
Bluetooth Audio Gateway Service,BTAGService,Manual
Bluetooth Support Service,bthserv,Manual
Capability Access Manager Service,camsvc,Manual
CaptureService_nnnnn,CaptureService_nnnnn,Manual
Certificate Propagation,CertPropSvc,Manual
Client License Service (ClipSVC),ClipSVC,Manual
Clipboard User Service_nnnnn,cbdhsvc_nnnnn,Manual
CNG Key Isolation,KeyIso,Manual
COM+ Event System,EventSystem,Automatic
COM+ System Application,COMSysApp,Manual
Connected Devices Platform Service,CDPSvc,Automatic
Connected Devices Platform User Service_nnnnn,CDPUserSvc_nnnnn,Automatic
Connected User Experiences and Telemetry,DiagTrack,Automatic
ConsentUX_nnnnn,ConsentUxUserSvc_nnnnn,Manual
Contact Data_nnnnn,PimIndexMaintenanceSvc_nnnnn,Manual
CoreMessaging,CoreMessagingRegistrar,Automatic
Credential Manager,VaultSvc,Manual
Cryptographic Services,CryptSvc,Automatic
Data Sharing Service,DsSvc,Manual
DCOM Server Process Launcher,DcomLaunch,Automatic
Delivery Optimization,DoSvc,Manual
Device Association Service,DeviceAssociationService,Manual
Device Install Service,DeviceInstall,Manual
Device Management Enrollment Service,DmEnrollmentSvc,Manual
Device Management Wireless Application Protocol (WAP) Push message Routing Service,dmwappushservice,Manual
Device Setup Manager,DsmSvc,Manual
DevicePicker_nnnnn,DevicePickerUserSvc_nnnnn,Manual
DevicesFlow_nnnnn,DevicesFlowUserSvc_nnnnn,Manual
DevQuery Background Discovery Broker,DevQueryBroker,Manual
DHCP Client,Dhcp,Automatic
Diagnostic Policy Service,DPS,Automatic
Diagnostic Service Host,WdiServiceHost,Manual
Diagnostic System Host,WdiSystemHost,Manual
Distributed Link Tracking Client,TrkWks,Automatic
Distributed Transaction Coordinator,MSDTC,Automatic
DNS Client,Dnscache,Automatic
Downloaded Maps Manager,MapsBroker,Automatic
Embedded Mode,embeddedmode,Manual
Encrypting File System (EFS),EFS,Manual
Enterprise App Management Service,EntAppSvc,Manual
Extensible Authentication Protocol,Eaphost,Manual
Function Discovery Provider Host,fdPHost,Manual
Function Discovery Resource Publication,FDResPub,Manual
Geolocation Service,lfsvc,Manual
GraphicsPerfSvc,GraphicsPerfSvc,Manual
Group Policy Client,gpsvc,Automatic
Human Interface Device Service,hidserv,Manual
HV Host Service,HvHost,Manual
Hyper-V Data Exchange Service,vmickvpexchange,Manual
Hyper-V Guest Service Interface,vmicguestinterface,Manual
Hyper-V Guest Shutdown Service,vmicshutdown,Manual
Hyper-V Heartbeat Service,vmicheartbeat,Manual
Hyper-V PowerShell Direct Service,vmicvmsession,Manual
Hyper-V Remote Desktop Virtualization Service,vmicrdv,Manual
Hyper-V Time Synchronization Service,vmictimesync,Manual
Hyper-V Volume Shadow Copy Requestor,vmicvss,Manual
IKE and AuthIP IPsec Keying Modules,IKEEXT,Manual
Internet Connection Sharing (ICS),SharedAccess,Manual
IP Helper,iphlpsvc,Automatic
IPsec Policy Agent,PolicyAgent,Manual
KDC Proxy Server service (KPS),KPSSVC,Manual
KtmRm for Distributed Transaction Coordinator,KtmRm,Manual
Link-Layer Topology Discovery Mapper,lltdsvc,Manual
Local Session Manager,LSM,Automatic
Microsoft (R) Diagnostics Hub Standard Collector Service,diagnosticshub.standardcollector.service,Manual
Microsoft Account Sign-in Assistant,wlidsvc,Manual
Microsoft App-V Client,AppVClient,Disabled
Microsoft iSCSI Initiator Service,MSiSCSI,Manual
Microsoft Passport,NgcSvc,Manual
Microsoft Passport Container,NgcCtnrSvc,Manual
Microsoft Software Shadow Copy Provider,swprv,Manual
Microsoft Storage Spaces SMP,smphost,Manual
Microsoft Store Install Service,InstallService,Manual
Net.Tcp Port Sharing Service,NetTcpPortSharing,Disabled
Netlogon,Netlogon,Manual
Network Connection Broker,NcbService,Manual
Network Connections,Netman,Manual
Network Connectivity Assistant,NcaSvc,Manual
Network List Service,netprofm,Manual
Network Location Awareness,NlaSvc,Automatic
Network Setup Service,NetSetupSvc,Manual
Network Store Interface Service,nsi,Automatic
Offline Files,CscService,Disabled
OpenSSH Authentication Agent,ssh-agent,Disabled
Optimize drives,defragsvc,Manual
Payments and NFC/SE Manager,SEMgrSvc,Manual
Performance Counter DLL Host,PerfHost,Manual
Performance Logs & Alerts,pla,Manual
Phone Service,PhoneSvc,Manual
Plug and Play,PlugPlay,Manual
Portable Device Enumerator Service,WPDBusEnum,Manual
Power,Power,Automatic
Print Spooler,Spooler,Automatic
Printer Extensions and Notifications,PrintNotify,Manual
PrintWorkflow_nnnnn,PrintWorkflowUserSvc_nnnnn,Manual
Problem Reports and Solutions Control Panel Support,wercplsupport,Manual
Program Compatibility Assistant Service,PcaSvc,Manual
Quality Windows Audio Video Experience,QWAVE,Manual
Radio Management Service,RmSvc,Manual
Remote Access Auto Connection Manager,RasAuto,Manual
Remote Access Connection Manager,RasMan,Manual
Remote Desktop Configuration,SessionEnv,Manual
Remote Desktop Services,TermService,Manual
Remote Desktop Services UserMode Port Redirector,UmRdpService,Manual
Remote Procedure Call (RPC),RpcSs,Automatic
Remote Procedure Call (RPC) Locator,RpcLocator,Manual
Remote Registry,RemoteRegistry,Automatic
Resultant Set of Policy Provider,RSoPProv,Manual
Routing and Remote Access,RemoteAccess,Disabled
RPC Endpoint Mapper,RpcEptMapper,Automatic
Secondary Logon,seclogon,Manual
Secure Socket Tunneling Protocol Service,SstpSvc,Manual
Security Accounts Manager,SamSs,Automatic
Sensor Data Service,SensorDataService,Manual
Sensor Monitoring Service,SensrSvc,Manual
Sensor Service,SensorService,Manual
Server,LanmanServer,Automatic
Shared PC Account Manager,shpamsvc,Disabled
Shell Hardware Detection,ShellHWDetection,Automatic
Smart Card,SCardSvr,Manual
Smart Card Device Enumeration Service,ScDeviceEnum,Manual
Smart Card Removal Policy,SCPolicySvc,Manual
SNMP Trap,SNMPTRAP,Manual
Software Protection,sppsvc,Automatic
Special Administration Console Helper,sacsvr,Manual
Spot Verifier,svsvc,Manual
SSDP Discovery,SSDPSRV,Disabled
State Repository Service,StateRepository,Manual
Still Image Acquisition Events,WiaRpc,Manual
Storage Service,StorSvc,Manual
Storage Tiers Management,TieringEngineService,Manual
SysMain,SysMain,Automatic
System Event Notification Service,SENS,Automatic
System Events Broker,SystemEventsBroker,Automatic
System Guard Runtime Monitor Broker,SgrmBroker,Manual
Task Scheduler,Schedule,Automatic
TCP/IP NetBIOS Helper,lmhosts,Manual
Telephony,tapisrv,Manual
Themes,Themes,Automatic
Time Broker,TimeBrokerSvc,Manual
Touch Keyboard and Handwriting Panel Service,TabletInputService,Manual
Update Orchestrator Service,UsoSvc,Automatic
UPnP Device Host,upnphost,Disabled
User Access Logging Service,UALSVC,Automatic
User Data Access_nnnnn,UserDataSvc_nnnnn,Manual
User Data Storage_nnnnn,UnistoreSvc_nnnnn,Manual
User Experience Virtualization Service,UevAgentService,Disabled
User Manager,UserManager,Automatic
User Profile Service,ProfSvc,Automatic
Virtual Disk,vds,Manual
VMware SVGA Helper Service,VM3DService,Automatic
Volume Shadow Copy,VSS,Manual
WalletService,WalletService,Manual
WarpJITSvc,WarpJITSvc,Manual
Web Account Manager,TokenBroker,Manual
Windows Audio,Audiosrv,Manual
Windows Audio Endpoint Builder,AudioEndpointBuilder,Manual
Windows Biometric Service,WbioSrvc,Manual
Windows Camera Frame Server,FrameServer,Manual
Windows Connection Manager,Wcmsvc,Automatic
Windows Defender Advanced Threat Protection Service,Sense,Manual
Windows Defender Antivirus Network Inspection Service,WdNisSvc,Manual
Windows Defender Antivirus Service,WinDefend,Automatic
Windows Defender Firewall,mpssvc,Automatic
Windows Encryption Provider Host Service,WEPHOSTSVC,Manual
Windows Error Reporting Service,WerSvc,Manual
Windows Event Collector,Wecsvc,Manual
Windows Event Log,EventLog,Automatic
Windows Font Cache Service,FontCache,Automatic
Windows Image Acquisition (WIA),stisvc,Manual
Windows Insider Service,wisvc,Manual
Windows Installer,msiserver,Manual
Windows License Manager Service,LicenseManager,Manual
Windows Licensing Monitoring Service,WLMS,Automatic
Windows Management Instrumentation,Winmgmt,Automatic
Windows Media Player Network Sharing Service,WMPNetworkSvc,Manual
Windows Mobile Hotspot Service,icssvc,Manual
Windows Modules Installer,TrustedInstaller,Manual
Windows Push Notifications System Service,WpnService,Automatic
Windows Push Notifications User Service_nnnnn,WpnUserService_nnnnn,Automatic
Windows PushToInstall Service,PushToInstall,Manual
Windows Remote Management (WS-Management),WinRM,Automatic
Windows Search,WSearch,Disabled
Windows Security Service,SecurityHealthService,Manual
Windows Time,W32Time,Automatic
Windows Update,wuauserv,Manual
Windows Update Medic Service,WaaSMedicSvc,Manual
WinHTTP Web Proxy Auto-Discovery Service,WinHttpAutoProxySvc,Manual
Wired AutoConfig,dot3svc,Manual
WMI Performance Adapter,wmiApSrv,Manual
Workstation,LanmanWorkstation,Automatic
